key;comments;en_US;tr_TR
WIFISETTINGS_ENCRYPTION_WPAK;;WPA Corporate;WPA Kurumsal
WIFISETTINGS_ENCRYPTION_WPA2K;;WPA2 Corporate;WPA2 Kurumsal

# MAINMENU - SETTINGS - INSTALLATION - CONNECTION SETTINGS
ETHERNETSETTINGS_IP_PARAMETER_CONFIGURATION;;IP CONFIGURATION;IP KONFİGÜRASYONU
ETHERNETSETTINGS_DNS_PARAMETER_CONFIGURATION;;DNS CONFIGURATION;DNS KONFİGÜRASYONU
ETHERNETSETTINGS_IP_PARAMETER_ADDRESS;;IP ADDRESS;IP ADRES
ETHERNETSETTINGS_SUBNET_PARAMETER_MASK;;SUBNET MASK;ALT AĞ MASKESİ
ETHERNETSETTINGS_DEFAULT_PARAMETER_GATEWAY;;DEFAULT GATEWAY;V. AĞ GEÇİDİ
ETHERNETSETTINGS_PRIMARY_PARAMETER_DNSSERVER;;PRIMARY DNS;BİRİNCİL DNS
ETHERNETSETTINGS_SECONDARY_PARAMETER_DNSSERVER;;SECONDARY DNS;İKİNCİL DNS
ETHERNETSETTINGS_MAC_PARAMETER_ADDRESS;;MAC ADDRESS;MAC ADRES
ETHERNETSETTINGS_SET_ACTION_DEFAULTPARAMETERS;;SET DEFAULT PARAMETERS;VARSAYILAN DEĞERLERE DÖN

# MAINMENU - SETTINGS - INSTALLATION - TIME OFFSET
TIMEOFFSET_TIME_PARAMETER_TIME;;TIME;SAAT
TIMEOFFSET_COUNTRY_PARAMETER_COUNTRY;;COUNTRY;ÜLKE
TIMEOFFSET_COUNTRY_HELP_COUNTRY;;Use this menu to configure your recorder in the adequate country with the correct time zone.;Uydu alıcınızın doğru zaman dilinimi kullanması için bulunduğunuz ülkeyi seçiniz.

# MAINMENU - SETTINGS - USER PREFERENCES
USERPREF_SETTINGS_ACTION_DISPLAY;;DISPLAY SETTINGS;GÖRÜNÜM AYARLARI
USERPREF_SETTINGS_ACTION_LANGUAGE;;LANGUAGE SETTINGS;DİL AYARLARI
USERPREF_SETTINGS_ACTION_AUDIO;;AUDIO SETTINGS;SES AYARLARI
USERPREF_SETTINGS_ACTION_RECORDING;;RECORDING SETTINGS;KAYIT AYARLARI
USERPREF_SETTINGS_ACTION_HDD;;HDD SETTINGS;SABİT DİSK AYARLARI
USERPREF_SETTINGS_ACTION_PAIREDDEVICE;;PAIRED DEVICE SETTINGS;EŞLENİK CİHAZ AYARLARI
USERPREF_SETTINGS_ACTION_AUTOMATICSTANDBY;;AUTOMATIC STANDBY;OTOMATİK STANDBY

# MAINMENU - SETTINGS - USER PREFERENCES - LANGUAGE SETTINGS
LANGUAGESETTINGS_MENU_PARAMETER_MENULANGUAGE;;MENU LANGUAGE;MENÜ DİLİ
LANGUAGESETTINGS_MENU_HELP_MENULANGUAGE;;You can set the recorder to display menus in the language of your choice.;Kullanıcı arayüzü menülerini hangi dille kullanmak istediğinizi belirleyebilirsiniz.
LANGUAGESETTINGS_AUDIO_PARAMETER_AUDIOLANGUAGE;;AUDIO LANGUAGE;SES DİLİ
LANGUAGESETTINGS_AUDIO_HELP_AUDIOLANGUAGE;;Choose your default audio language for multi language supported channels.;Çift dil opsiyonu olan bir kanala geçtiğinizde aktif olacak dili belirleyebilirsiniz.
LANGUAGESETTINGS_SUBTITLE_PARAMETER_SUBTITLELANGUAGE;;SUBTITLE LANGUAGE;ALT YAZI DİLİ
LANGUAGESETTINGS_SUBTITLE_HELP_SUBTITLELANGUAGE;;Choose your default subtitle language for supported channels.;Alt yazı desteklenen kanala geçtiğinizde altyazının açık olup olmayacağını belirleyebilirsiniz.

# MAINMENU - SETTINGS - USER PREFERENCES - DISPLAY SETTINGS
DISPLAYSETTINGS_TVTYPE_PARAMETER_TVTYPE;;TV TYPE;TV TİPİ
DISPLAYSETTINGS_TVTYPE_VALUE_16_9;;16:9;16:9
DISPLAYSETTINGS_TVTYPE_VALUE_4_3;;4:3;4:3
DISPLAYSETTINGS_TVTYPE_HELP_TVTYPE;;Select the format for your TV set: 16:9 (widescreen) or 4:3 (standard TV).;TV setinizin formatını seçin: %cr%16:9 (geniş ekran), 4:3 (standard)
DISPLAYSETTINGS_DISPLAYFORMAT_PARAMETER_DISPLAYFORMAT;;DISPLAY FORMAT;GÖRÜNTÜ FORMATI
DISPLAYSETTINGS_DISPLAYFORMAT_HELP_ASPECT;;This setting allows to resize the picture on the screen according to the format of the broadcast programme and the TV format.;Yayın ve televizyon formatına göre görüntünün nasıl boyutlanacağını belirleyebilirsiniz.
DISPLAYSETTINGS_DISPLAYFORMAT_VALUE_LETTERBOX;;BOX;KUTU
DISPLAYSETTINGS_DISPLAYFORMAT_VALUE_PANSCAN;;FULL SCREEN;TAM EKRAN
DISPLAYSETTINGS_DISPLAYFORMAT_VALUE_PILLARBOX;;STRETCH;GENİŞ EKRAN
DISPLAYSETTINGS_DISPLAYFORMAT_VALUE_ZOOM;;ZOOM;ZUMLA
DISPLAYSETTINGS_SCARTMODE_HELP_SCARTMODE;;Select the video standard best suited for the TV SCART output:;TV SCART çıkışı için, en uygun video standardını seçin.
DISPLAYSETTINGS_HDMI_HELP_VIDEORESOLUTION;;Select the output resolution best suited for your HD TV set.;HD TV setiniz için, en uygun çıkış çözünürlüğünü seçin.
DISPLAYSETTINGS_HDMI_HELP_COLORMODE;;Select if necessary the HDMI color standard best suited for your HD TV set.;HD TV setiniz için, en uygun HDMI renk standardını seçin.
DISPLAYSETTINGS_HDMI_HELP_CEC;;;
DISPLAYSETTINGS_SCARTMODE_PARAMETER_SCARTMODE;;SCART MODE;SCART MODU
DISPLAYSETTINGS_HDMI_PARAMETER_VIDEORESOLUTION;;HDMI VIDEO RESOLUTION;HDMI VİDEO ÇÖZÜNÜRLÜĞÜ
DISPLAYSETTINGS_VIDEORESOLUTION_VALUE_PAL;;PAL:576i;PAL:576i
DISPLAYSETTINGS_VIDEORESOLUTION_VALUE_576P;;576p;576p
DISPLAYSETTINGS_VIDEORESOLUTION_VALUE_720P;;720p;720p
DISPLAYSETTINGS_VIDEORESOLUTION_VALUE_1080I;;1080i;1080i
DISPLAYSETTINGS_VIDEORESOLUTION_VALUE_1080P;;1080p;1080p
DISPLAYSETTINGS_VIDEORESOLUTION_VALUE_2160P;;2160p;2160p
DISPLAYSETTINGS_VIDEORESOLUTION_VALUE_ORIGINAL;;ORIGINAL;ORİJİNAL
DISPLAYSETTINGS_VIDEORESOLUTION_VALUE_NATIVE;;NATIVE;DOĞAL
DISPLAYSETTINGS_BANNER_HELP_DURATION;;You can set how long you want the zapping and information banners to stay onscreen;Kanal değiştirdiğinizde ekrana gelen bilgi çubuğunun ekranda kalma süresini belirleyebilirsiniz.
DISPLAYSETTINGS_TAG_HELP_NOTIFICATION;;You can specify here when the recorder is to display the tag notification.;Etiket uyarısının program başlamadan ne kadar süre önce ekrana geleceğini buradan belirleyebilirsiniz.
DISPLAYSETTINGS_TRANSPARENCY_HELP_LEVEL;;You can set how transparent you want On-Screen Display to be displayed.;Kullanıcı arayüzünün şeffaflık seviyesini buradan değiştirebilirsiniz.
DISPLAYSETTINGS_DIGITURKLOGO_HELP_DIGITURKLOGO;;;
DISPLAYSETTINGS_HDMICOLOR_PARAMETER_MODE;;HDMI COLOR MODE;HDMI RENK MODU
DISPLAYSETTINGS_HDMICEC_PARAMETER_HDMICEC;;HDMI CEC;HDMI CEC
DISPLAYSETTINGS_BANNER_PARAMETER_DURATION;;BANNER DURATION;BİLGİ EKRANI SÜRESİ
DISPLAYSETTINGS_TAG_PARAMETER_NOTIFICATION;;TAG NOTIFICATION;ETİKET UYARI SÜRESİ
DISPLAYSETTINGS_TRANSPARENCY_PARAMETER_LEVEL;;TRANSPARENCY LEVEL;ŞEFFAFLIK SEVİYESİ
DISPLAYSETTINGS_DIGITURKLOGO_PARAMETER_DIGITURKLOGO;;DIGITURK LOGO;DIGITURK LOGO
DISPLAYSETTINGS_VIRTZAP_HELP_PARAMETER;;To close channel preview while virtual zapping you can set CLOSE.;Bilgi ekranında yön tuşları ile ilerlerken  kanalın ön izlemede belirmesini istemiyorsanız KAPALI konuma getiriniz.
DISPLAYSETTINGS_VIRTZAP_PARAMETER_MODE;;BANNER CHANNEL PREVIEW;BİLGİ EKRANI ÖN İZLEME

# MAINMENU - SETTINGS - USER PREFERENCES - AUDIO SETTINGS
AUDIOSETTINGS_REMOTE_PARAMETER_KEYSOUND;;REMOTE CONTROL KEY SOUND;KUMANDA TUŞ SESİ
AUDIOSETTINGS_REMOTE_HELP_KEYSOUND;;;
AUDIOSETTINGS_STARTUP_PARAMETER_SOUND;;START-UP SOUND;AÇILIŞ SESİ
AUDIOSETTINGS_STARTUP_HELP_SOUND;;You can set if the startup sound will be played.;Uydu alıcınız açılırken açılış sesi çalınıp çalınmayacağını belirleyebilirsiniz.
AUDIOSETTINGS_LIPSYNC_PARAMETER_DELAY;;LIP-SYNC DELAY;HOPARLÖR GECİKMESİ
AUDIOSETTINGS_LIPSYNC_HELP_DELAY;;If the sound and picture are not synchronized, adjust this setting.;Ses ve resim gecikme değerini değiştirebilirsiniz.
AUDIOSETTINGS_HDMIAUDIO_PARAMETER_MUTE;;HDMI AUDIO MUTE;HDMI SESi
AUDIOSETTINGS_HDMIAUDIO_HELP_MUTE;;;
AUDIOSETTINGS_SPDIF_PARAMETER_AUDIOOUTPUT;;SPDIF AUDIO OUTPUT;SPDIF SES ÇIKIŞI
AUDIOSETTINGS_SPDIF_HELP_AUDIOOUTPUT;;If you use an HD TV set or to a home theatre system, set the audio output best suited to your equipment.;Şayet dijital ses konnektörü ile ev sinema sistemine bağlıyorsanız, ekipmanınıza uygun çıkışı seçebilirsiniz.
AUDIOSETTINGS_HDMIAUDIOOUTPUT_PARAMETER_HDMIAUDIOOUTPUT;;HDMI AUDIO OUTPUT;HDMI SES ÇIKIŞI
AUDIOSETTINGS_HDMIAUDIOOUTPUT_HELP_HDMIAUDIOOUTPUT;;HDMI or SPDIF connector, set the audio output best suited to your equipment.;HDMI ve SPDIF bağlantısı için en uygun ses çıkış değerini buradan belirleyebilirsiniz.
AUDIOSETTINGS_DIGITAL_PARAMETER_AUDIOOUTPUT;;DIGITAL AUDIO OUTPUT;DIJITAL SES ÇIKIŞI

#MAINMENU - SETTINGS - USER PREFERENCES - RECORDING SETTINGS
RECORDINGSETTINGS_STARTOFFSET_PARAMETER_STARTOFFSET;;START OFFSET;BAŞA EK SÜRE
RECORDINGSETTINGS_STARTOFFSET_HELP_STARTOFFSET;;;Bir programı kayıt için işaretlediğinizde, program başlamadan ne kadar önce kayda başlayacağını belirleyebilirsiniz.
RECORDINGSETTINGS_ENDOFFSET_PARAMETER_ENDOFFSET;;END OFFSET;SONA EK SÜRE
RECORDINGSETTINGS_ENDOFFSET_HELP_ENDOFFSET;;;Bir programı kayıt için işaretlediğinizde, kaydın program bittikten sonra ne kadar daha devam edeceğini belirleyebilirsiniz.
RECORDINGSETTINGS_INSTANT_PARAMETER_RECORDINGDEFAULT;;INSTANT REC DEFAULT;ANLIK KAYIT SÜRE
RECORDINGSETTINGS_INSTANT_HELP_RECORDINGDEFAULT;;You can set default duration for instant recording.;İzlediğiniz kanalı kaydederken, ekrana gelecek varsayılan kayıt süresini belirleyebilirsiniz.
RECORDINGSETTINGS_RECORDINGDEFAULT_VALUE_EVENTENDS;;EVENT ENDS;PROGRAM SONU
RECORDINGSETTINGS_THRESHOLD_PARAMETER_FORHDD;;THRESHOLD FOR HDD;SABİT DİSK DOLULUK UYARI
RECORDINGSETTINGS_THRESHOLD_HELP_FORHDD;;;Sabit diskinizdeki boş alan burada belirlediğiniz değerin altına indiğinde uyarı verecektir.
RECORDINGSETTINGS_RADIO_PARAMETER_CHANNELSVIDEO;;RADIO CHANNELS VIDEO;RADYO KANALI VİDEO KAYDI
RECORDINGSETTINGS_RADIO_HELP_CHANNELSVIDEO;;You can if video will record or not while recording a radio channel.;Bir radyo kanalı kaydederken videonun da kaydedilip kaydedilmeyeceğini buradan belirleyebilirsiniz.
RECORDINGSETTINGS_LIVE_PARAMETER_BUFFER;;LIVE BUFFER;CANLI YAYIN OTOMATİK KAYDI
RECORDINGSETTINGS_LIVE_HELP_BUFFER;;;İzlediğiniz kanalın otomatik olarak geçici hafızaya kaydedilmesi için bu değeri KAPALI olarak değiştirebilirsiniz.
RECORDINGSETTINGS_SHOW_PARAMETER_LOCKRECORDINGS;;LOCKED RECORDINGS;KİLİTLİ KAYITLAR
RECORDINGSETTINGS_SHOW_HELP_LOCKRECORDINGS;;To list your locked recording at recordings list change the value as SHOW.;Kayıt listelerinizde kilitli kayıtlarınızın da listelenmesi için bu değeri GÖSTER olarak değiştirebilirsiniz.

# MAINMENU - SETTINGS - SYSTEM INFORMATION
DIGITURKKEYINFO_INFOCENTRAL_ACTION_SOFTWAREVERSION;;SOFTWARE VERSION;YAZILIM VERSİYONU
DIGITURKKEYINFO_INFOCENTRAL_ACTION_INSTALLINFORMATION;;INSTALLATION INFORMATION;KURULUM BİLGİSİ
DIGITURKKEYINFO_INFOCENTRAL_ACTION_STBANDSMARTCARDINFO;;STB AND SMART CARD INFO;KUTU VE KART BİLGİLERİ
DIGITURKKEYINFO_INFOCENTRAL_ACTION_DIGITURKCONTACTINFO;;DIGITURK CONTACT INFO;DIGITURK İLETİŞİM BİLGİSİ
DIGITURKKEYINFO_INFOCENTRAL_ACTION_POWERCYCLE;;POWER CYCLE;YENİDEN BAŞLAT
DIGITURKKEYINFO_INFOCENTRAL_MESSAGE_POWERCYCLE;;Press OK to power cycle your set top box.%cr%;OK tuşlayarak kutunuzun elektrik bağlantısını kesip, yeniden başlamasını sağlayabilirsiniz.
DIGITURKKEYINFO_INFOCENTRAL_ACTION_MAIL;;MAIL;POSTA
MYDECODER_PREFERENCES_ACTION_IRDETOCLIENTSTATUS;;IRDETO CLIENT STATUS;IRDETO CA DURUMU

# MAINMENU - SETTINGS - SYSTEM INFORMATION - INSTALLATION INFORMATION
INSTALLINFORMATION_MDU_PARAMETER_TYPE;;MDU TYPE;MDU TİPİ
INSTALLINFORMATION_SATELLITE_PARAMETER_INFO;;SATELLITE INFO;UYDU BİLGİSİ

# MAINMENU - SETTINGS - SYSTEM INFORMATION - SOFTWARE INFORMATION
SOFTWAREVERSION_FIRMWARE_PARAMETER_VERSION;;FIRMWARE VERSION;YAZILIM SÜRÜMÜ
SOFTWAREVERSION_EPG_PARAMETER_VERSION;;EPG VERSION;ARAYÜZ SÜRÜMÜ
SOFTWAREVERSION_VOD_PARAMETER_VERSION;;HEADEND VERSION;HEADEND SÜRÜMÜ
SOFTWAREVERSION_LOADER_PARAMETER_VERSION;;LOADER VERSION;YÜKLEYİCİ SÜRÜMÜ
SOFTWAREVERSION_KEY_PARAMETER_KEY;;KEY;ANAHTAR
SOFTWAREVERSION_SOFTWARE_PARAMETER_LOADDATE;;SOFTWARE LOAD DATE;YAZILIM YÜKLEME TARİHİ

# MAINMENU - SETTINGS - SYSTEM INFORMATION - STB AND SMART CARD INFO
STBANDSMARTCARDINFO_SMARTCARD_PARAMETER_NUMBER;;SMART CARD NUMBER;DİJİTAL KART NO
STBANDSMARTCARDINFO_STB_PARAMETER_SERIALNUMBER;;STB SERIAL NUMBER;UYDU ALICI SERİ NO
STBANDSMARTCARDINFO_STB_PARAMETER_MODELNAME;;STB MODEL NAME;MODEL
STBANDSMARTCARDINFO_STB_PARAMETER_CHIPNUMBER;;STB CHIP NUMBER;ÇİP NUMARASI
STBANDSMARTCARDINFO_ETHERNET_MAC_PARAMETER_ADDRESS;;ETHERNET MAC ADDRESS;ETHERNET MAC ADRES
STBANDSMARTCARDINFO_WIRELESS_MAC_PARAMETER_ADDRESS;;WIFI MAC ADDRESS;WIFI MAC ADRES
STBANDSMARTCARDINFO_SOURCEFILE_PARAMETER_NAME;;SOURCE FILE NAME;KAYNAK DOSYA ADI
STBANDSMARTCARDINFO_SEARCHINDEX_PARAMETER_FILENAME;;SEARCH INDEX NAME ;ARAMA İNDEKS DOSYASI
STBANDSMARTCARDINFO_SEARCHINDEX_PARAMETER_UPDATE;;SEARCH INDEX UPDATE ;ARAMA İNDEKS DOSYA TARİHİ
STBANDSMARTCARDINFO_RECOMMENDATIONS_PARAMETER_FILENAME;;RECOMMENDATIONS INDEX NAME ;ÖNERDİKLERİMİZ İNDEKS DOSYASI
STBANDSMARTCARDINFO_RECOMMENDATIONS_PARAMETER_UPDATE;;RECOMMENDATIONS INDEX UPDATE ;ÖNERDİKLERİMİZ İNDEKS DOSYA TARİHİ
STBANDSMARTCARDINFO_CHANNELSLOGO_PARAMETER_UPDATE;;CHANNELS LOGO UPDATE ;KANAL LOGO GÜNCELLENME

# MAINMENU - SETTINGS - SYSTEM INFORMATION - STB AND SMART CARD INFO
DIGITURKCONTACTINFO_CALLCENTER_PARAMETER_NUMBER;;CALL CENTER NUMBER;MÜŞTERİ HİZMETLERİ TELEFONU
DIGITURKCONTACTINFO_TECHNICALSERVICE_PARAMETER_NUMBER;;TECHNICAL SERVICE NUMBER;TEKNİK SERVİS TELEFONU
DIGITURKCONTACTINFO_WEB_PARAMETER_ADDRESS;;WEB ADDRESS;WEB ADRESİ
WEB_ADDRESS_VALUE_ADDRESS;;www.digiturk.com.tr;www.digiturk.com.tr

# MAINMENU - CHANNELS
CHANNELS_CHANLIST_MESSAGE_EDIT;;Use arrows or SMS mode to enter a new name. When you are done, press OK.;Use arrows or SMS mode to enter a new name. When you are done, press OK.
CHANNELS_CHANLIST_ACTION_ADD_REMOVE;ADD / REMOVE; ADD / REMOVE;EKLE / KALDIR
CHANNELS_ORDERLIST_LABEL;;The selected order will be applied to all your lists.;Seçilen sıralama tüm listelere uygulanacaktır.
CHANNELS_ORDERLIST_BY_NAME;;All your channel list has been ordered by name.%cr%This order will be valid until you quit menu.;Tüm kanal listesi isme göre sıralanacaktır.%cr%Bu sıralama menüden çıkana kadar aktif olacaktır.
CHANNELS_ORDERLIST_BY_NUMBER;;All your channel list has been ordered by number.%cr%This order will be valid until you quit menu.;Tüm kanal listesi kanal numarasına göre sıralanacaktır.%cr%Bu sıralama menüden çıkana kadar aktif olacaktır.
CHANNELS_ORDERLIST_VALUE_ORDER;;CHANGE ORDER;SIRALAMAYI DEĞİŞTİR
CHANNELS_ORDERLIST_ACTION_NUMBER;;ORDERED BY NUMBER;KANAL NO İLE SIRALI
CHANNELS_ORDERLIST_ACTION_NAME;;ORDERED BY NAME;İSME GÖRE SIRALI
CHANNELS_CHANLIST_VALUE_FILTERCHANNELLC;;FILTER CHANNELS;KANAL FİLTRELEME
CHANNELS_CHANLIST_PARAMETER_EDITFAV;;EDIT FAVOURITES;FAVORİLERİ DÜZENLE
CHANNELS_LOCK_ACTION_EDITLOCKS;;EDIT LOCKS;KANAL KİLİTLEME
CHANNELS_ORDERLIST_BREADCRUMB_NUMBER;;NUMBER;KANAL NO
CHANNELS_ORDERLIST_BREADCRUMB_NAME;;NAME;İSİM

# MAINMENU - UI INFORMATION
UI_INFORMATION_APP_VERSION;;Application Version;Application Version
UI_INFORMATION_COMPILATION_DATE;;Compilation Date;Compilation Date
UI_INFORMATION_FREEZE_REPORTS;;Number of Freeze Reports;Number of Freeze Reports
UI_INFORMATION_CRASH_REPORTS;;Number of Crash Reports;Number of Crash Reports
UI_INFORMATION_STB_RESTARTS;;STB Restart Mechanism Status;STB Restart Mechanism Status
UI_INFORMATION_LAST_REBOOT;;STB Last Reboot Reason;STB Last Reboot Reason
UI_INFORMATION_LAST_COMMIT_HASH;;Last Commit Hash;Last Commit Hash
UI_INFORMATION_CONF_FILE_REVISION;;Config File Revision;Config File Revision
UI_INFORMATION_WIDGET_FILE_REVISION;;Widget File Revision;Widget File Revision
UI_INFORMATION_URL_WEBSERVICE;;New Webservice URL;New Webservice URL

# MAINMENU - DATA MINING STATUS
DATA_MINING_STATUS_SERVER_IP;;Server IP;Server IP
DATA_MINING_STATUS_SERVER_PORT;;Server Port;Server Port
DATA_MINING_STATUS_DATAMINING_STATUS;;Status;Status
DATA_MINING_STATUS_TRESHOLD;;Treshold;Treshold
DATA_MINING_STATUS_ZAPPING_DELAY;;Delay;Delay
DATA_MINING_STATUS_SCHEDULED_REPORT_TIME;;Scheduled Report Time;Scheduled Report Time
DATA_MINING_STATUS_NEXT_REPORT_TIME;;Next Report Time;Next Report Time
DATA_MINING_STATUS_LAST_REPORT_STATUS;;Last Report Status;Last Report Status
DATA_MINING_STATUS_RETRIES_LEFT;;Retries Left;Retries Left
DATA_MINING_STATUS_DAILY_TRIALS_LEFT;;Daily Trials Left;Daily Trials Left

# MOREINFO
EVENTOPTION_DELETE_ACTION_FROM_HDD;;DELETE FROM HARD DISK;SABİT DİSKTEN SİL
RECORDINGS_TEXTENTRY_MESSAGE_RENAME;;Use arrows or SMS mode to enter the new name. %cr%When you are done, press OK.;Yön tuşları veya nümerik tuşlarla ismi giriniz. %cr%Girişi tamamladığınızda OK tuşlayarak onaylayınız.
EVENTOPTION_RERUNS_MESSAGE_NODATA;;There is no data available. ;Bilgi bulunmuyor

# GENERIC DATES
GENERIC_DAY_VALUE_MONDAY;;Mon;Pzt
GENERIC_DAY_VALUE_TUESDAY;;Tue;Sal
GENERIC_DAY_VALUE_WEDNESDAY;;Wed;Çar
GENERIC_DAY_VALUE_THURSDAY;;Thu;Per
GENERIC_DAY_VALUE_FRIDAY;;Fri;Cum
GENERIC_DAY_VALUE_SATURDAY;;Sat;Cmt
GENERIC_DAY_VALUE_SUNDAY;;Sun;Paz
GENERIC_FULLDAY_VALUE_MONDAY;;MONDAY;PAZARTESİ
GENERIC_FULLDAY_VALUE_TUESDAY;;TUESDAY;SALI
GENERIC_FULLDAY_VALUE_WEDNESDAY;;WEDNESDAY;ÇARŞAMBA
GENERIC_FULLDAY_VALUE_THURSDAY;;THURSDAY;PERŞEMBE
GENERIC_FULLDAY_VALUE_FRIDAY;;FRIDAY;CUMA
GENERIC_FULLDAY_VALUE_SATURDAY;;SATURDAY;CUMARTESİ
GENERIC_FULLDAY_VALUE_SUNDAY;;SUNDAY;PAZAR

# DateUtils - Wiztivi
Mon;;Mon;Pzt
Tue;;Tue;Sal
Wed;;Wed;Çar
Thu;;Thu;Per
Fri;;Fri;Cum
Sat;;Sat;Cmt
Sun;;Sun;Paz
Monday;;MONDAY;PAZARTESİ
Tuesday;;TUESDAY;SALI
Wednesday;;WEDNESDAY;ÇARŞAMBA
Thursday;;THURSDAY;PERŞEMBE
Friday;;FRIDAY;CUMA
Saturday;;SATURDAY;CUMARTESİ
Sunday;;SUNDAY;PAZAR
GENERIC_DAY_VALUE_WRONG_DATE;;Wrong Date;Hatalı Tarih
GENERIC_DAY_VALUE_WRONG_TIME;;Wrong Time;Hatalı Saat
Jan;;Jan;Oca
Feb;;Feb;Şub
Mar;;Mar;Mar
Apr;;Apr;Nis
May;;May;May
Jun;;Jun;Haz
Jul;;Jul;Tem
Aug;;Aug;Ağu
Sep;;Sep;Eyl
Oct;;Oct;Eki
Nov;;Nov;Kas
Dec;;Dec;Ara

# SettingsService - Wiztivi
0min;;0min;0dk
5min;;5min;5dk
10min;;10min;10dk
15min;;15min;15dk
20min;;20min;20dk
30min;;30min;30dk
45min;;45min;45dk
60min;;60min;60dk
120min;;120min;120dk
min;;min;dk

# MULTIPLE SUBTITLE-LANG VALUES FROM MW
eng;;ENGLISH;İNGİLİZCE
tur;;TURKISH;TÜRKÇE
ara;;ARABIC;ARAPÇA
ara_MPEG1_L1;;ARABIC;ARAPÇA
ara_E-AC3;;ARABIC-DOLBY;ARAPÇA-DOLBY
eng_MPEG1_L1;;ENGLISH;ARAPÇA
eng_E-AC3;;ENGLISH-DOLBY;İNGİLİZCE-DOLBY
deu;;GERMAN;ALMANCA
orj;;ORIGINAL;ORİJİNAL
btm;;DESCRIPTIVE;BETİMLEMELİ

# MULTIPLE AUDIO-LANG VALUES FROM MW
en;;ENGLISH;İNGİLİZCE
tr;;TURKISH;TÜRKÇE
tr:;;TURKISH;TÜRKÇE
en:;;ENGLISH;İNGİLİZCE

# MULTIPLE VOD AUDIO-LANG VALUES FROM MW
descriptive;;DESCRIPTIVE;BETİMLEMELİ
original;;ORIGINAL;ORİJİNAL
turkish;;TURKISH;TÜRKÇE              

# SCHEDULE
SCHEDULING_CHANNEL_PARAMETER_CHANNEL;;CHANNEL;KANAL
SCHEDULING_TIME_PARAMETER_DATE;;START DATE;BAŞLAMA TARİHİ
SCHEDULING_TIME_PARAMETER_STARTTIME;;START TIME;BAŞLAMA SAATİ
SCHEDULING_TIME_PARAMETER_ENDTIME;;END TIME;BİTİŞ SAATİ
SCHEDULING_FREQUENCY_PARAMETER_FREQUENCY;;FREQUENCY;SIKLIK
SCHEDULING_PLAYLIST_PARAMETER_PLAYLIST;;PLAYLIST;KLASÖR
SCHEDULING_LOCK_PARAMETER_LOCK;;LOCK;KİLİTLE
SCHEDULING_FREQUENCY_VALUE_ONCE;;ONCE;BİR KEZ
SCHEDULING_FREQUENCY_VALUE_NONE;;ONCE;BİR KEZ
SCHEDULING_FREQUENCY_VALUE_DAILY;;DAILY;HER GÜN
SCHEDULING_FREQUENCY_VALUE_WEEKLY;;WEEKLY;HER HAFTA
SCHEDULING_FREQUENCY_VALUE_WEEKDAYS;;WEEK DAYS;HAFTA İÇİ
SCHEDULING_FREQUENCY_VALUE_WEEKENDS;;WEEK-ENDS;HAFTA SONU
SCHEDULING_FREQUENCY_VALUE_SERIES;;SERIES;TÜM BÖLÜMLER
SCHEDULING_FREQUENCY_VALUE_EPISODE;;EPISODE;BU BÖLÜM
SCHEDULING_LOCK_VALUE_YES;;LOCK YES;KİLİTLİ
SCHEDULING_LOCK_VALUE_NO;;LOCK NO;KİLİT YOK
SCHEDULING_CONFLICT_ACTION_SOLVE;;SOLVE CONFLICT;ÇAKIŞMAYI DÜZELT
SCHEDULING_CONFLICT_ACTION_CONFIRMSCHEDULE;;CONFIRM SCHEDULE;ONAYLA
SCHEDULING_CONFLICT_ACTION_EDITSCHEDULE;;EDIT SCHEDULE;KAYIT PLANINI DÜZENLE
SCHEDULING_CONFLICT_ACTION_CANCELSCHEDULE;;CANCEL SCHEDULE;PLANI İPTAL ET

# PREFERENCES
PREFERENCES_TRANSPARENCY_VALUE_LIGHT;;LIGHT;AÇIK
PREFERENCES_TRANSPARENCY_VALUE_MEDIUM;;MEDIUM;ORTA
PREFERENCES_TRANSPARENCY_VALUE_STANDARD;;STANDARD;STANDART
PREFERENCES_TRANSPARENCY_VALUE_DARK;;DARK;KOYU
PREFERENCES_TRANSPARENCY_VALUE_OPAQUE;;OPAQUE;OPAK

#Legacy Translations
LAYOUT_MOREINFO_MESSAGE_DIRECTOR;;DIRECTOR: ;YÖNETMEN:
LAYOUT_MOREINFO_MESSAGE_CAST;;CAST: ;OYUNCU:
LAYOUT_MOREINFO_MESSAGE_EXPIRATIONDATE;;EXPIRATION DATE: ;YAYINDAN KALKACAĞI TARİH:
EVENTOPTION_RERUNS_MESSAGE_RERUNS;;Find out when %cr%you can see that programme again.;Tekrarı ne zaman
EVENTOPTION_MORELIKETHIS_MESSAGE_MORELIKETHIS;;Discover content %cr%similar to this one in a brand new navigation mode.;Benzerini bul
EVENTOPTION_WATCH_ACTION_SPY;;SPY;KANALI TAKİBE AL
EVENTOPTION_SHARE_ACTION_SHARE;;SHARE;PAYLAŞ
EVENTOPTION_VOD_ACTION_CATCHUP;;CATCH-UP TV;TEKRAR İZLE
EVENTOPTION_MORE_ACTION_MOREINFO;;MORE INFO;BİLGİ VE SEÇENEKLER
EPISODE_LIST_MOREINFO;;MORE;BİLGİ VE SEÇENEKLER
